Acronym,Description
AAR,After-Action Review
ACABQ,Advisory Committee on Administrative and Budgetary Questions
ACL,Access Control List
AMED,Asia and Middle East Division
AMET,Aero Medical Evacuation Team
AMIS,African Mission in Sudan
AMISOM,African Mission in Somalia
AO,Area of Operations
AOB,Any Other Business
ASD,Administrative Support Division
ASG,Assistant Secretary General
ATO,Ammunition Technical Officer
ATS,Air Transport Section
AU,African Union
AUPSOD,African Union Peace Support Operations Division
AUPST,African Union Peace Support Team
BES,Building and Engineering Services
BMS,Building Management Services
BN,Battalion
BOA,Board of Auditors
BOI,Board of Inquiry
BRSC,Brown & Root Services Corporation
C-34,United Nations Special Committee on Peacekeeping Operations
CAA,Civil Aviation Administration
CAO,Chief Administrative Officer
CBMS,Chief Building Management Services
CC,Contributing Country
CCITS,Chief of Communications and Information Technology Service
CCLO,Chief Civilian Logistics Officer
CCO,Chief Communications Officer
CCPO,Chief Civilian Personnel Officer
CDT,Conduct and Discipline Team
CESS,Chief Electronic Service Support
CFO,Chief Finance Officer
DGACM,Department of General Assembly and Conference Management
DLSD,Director of Logistics Support Division
DM,Department of Management
DMS,Director of Mission Support
DOA,Dead on Arrival
DOA,Director of Administration
DPA,Department of Political Affairs
DPET,Division of Policy Evaluation and Training
DPI,Department of Public Information
DPKO,Department of Peacekeeping Operations
DRBC,Disaster Recovery and Business Continuity
DSA,Daily Subsistence Allowance
EAD,Electoral Assistance Division
EDP,Electronic Data Processing
EO,Executive Office
EoAR,End of Assignment Report
EOD,Entry on Duty
EON,Exchange of Notes
ERP,Enterprise Resource Planning
ERW,Explosive Remnant of War
ESS,Electronic Support Section
ETA,Estimated Time of Arrival
ETD,Estimated Time of Departure
FACS,Field Assets Control System
FAK,Flyaway Kit
FC,Force Commander
FCC,Financial Contributing Countries
FDAR,Final Disposition of Assets Report
FDS,Field Defense Stores
FFU,Freight Forwarding Unit
FGS,Force Generation Service
FMedO,Force Medical Officer
FMLS,Field Mission Logistics System
FMSS,Finance Management and Support Services
IMC,Information Management Committee
IMIS,Integrated Management Information System
IMO,International Maritime Organization
IMPP,Integrated Mission Planning Process
IMTC,Integrated Mission Training Centre
IMU,Information Management Unit
INMARSAT,International Maritime Satellite Organization
INTELSAT,International Telecommunications Satellite Organization
IOC,Initial Operating Capability
IOR,Immediate Operational Requirement
IOT,Integrated Operational Teams
IOV,Inter-Office Voucher
IPSAS,International Public Sector Accounting Standards
IPST,Integrated Personnel Support Teams
ITAR,International Traffic in Arms Regulations
ITB,Invitation to Bid
JLOC,Joint Logistics Operations Centre
JOC,Joint Operations Centre
KPI,Key Performance Indicators
LA,Legal Adviser
LAN,Local Area Network
LCC,Local Committee on Contracts
LCS,Logistics and Communications Service
LOA,Letter of Assist
LOGOPS,Logistics Operations (Section)
LOGREP,Logistics Report
LPG,Liquefied Petroleum Gasoline
LPSB,Local Property Survey Board
LPU,Logistics Planning Unit
LRF,Laser Range Finder
LSD,Logistics Support Division
MCMS,MOU and Claims Management Section
MEDEVAC,Medical Evacuation
MHE,Material Handling Equipment
OHC,Office of the Humanitarian Coordinator
