organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_website,date_provided,date_updated,status,donors
AmeriCares,ACARE-GN-14-8125,"",Ebola,"Ebola Outbreak - Emergency Aid","AmeriCares sent a shipment of medicines, assorted personal protective equipment and 600 personal protective equipment kits (goggles, gowns, gloves, and shoe covers) in support of the Centers for Disease Control (CDC) Ebola response in Guinea. ","","",2014-10-17,2016-01-01,Health,"Humanitarian aid,Non-food relief items (NFIs)","",,"","","",,"",Guinea,"",2014-10-20,2014-10-20,active,""
AmeriCares,ACARE-LR-14-8122,"",Ebola,"Ebola Outbreak - Emergency Aid","AmeriCares has sent 12 emergency shipments of essential medicines and personal protective wear to Sierra Leone and Liberia.","AmeriCares has scaled up its response by providing 12 emergency shipments of essential medicines and personal protective wear to to both Liberia and Sierra Leone to help treat Ebola patients and to provide protective gear for health workers facing great risks in trying to control the outbreak.<br><br>The shipments contain over 100,000 pairs of gloves, 690,000 face masks, and over 140,000 units of protective clothing including scrubs, head covers, and disposable coveralls and gowns. Shipments of intravenous fluids to rehydrate Ebola patients have also been sent to Liberia and Sierra Leone.","",2014-05-01,2016-01-01,Health,"Humanitarian aid,Non-food relief items (NFIs)","",,"","","",,"","Liberia,Sierra Leone","",2014-10-18,2014-10-20,active,""
AmeriCares,ACARE-LR-14-8123,"",Ebola,"Ebola Outbreak - Emergency Aid","AmeriCares has sent two shipments of Clorox® Regular-Bleach to our partners in Sierra Leone and Liberia.
","AmeriCares has sent two shipments of Clorox® Regular-Bleach to our partners in Sierra Leone and Liberia. Each 40-foot sea container includes 6,000 bottles of Clorox Bleach, as well as PPE and medical supplies. Chlorine solutions made with bleach are essential for infection control and are used for hand washing, disinfecting PPE, and sanitizing Ebola treatment centers. In addition, a first 30,000 lb. air shipment has been sent to Guinea containing medicines, assorted PPE items and 600 PPE kits (goggles, gowns, gloves, and shoe covers). It will help support the Centers for Disease Control (CDC) Ebola response in Guinea.","",2014-05-01,2016-01-01,Health,"Humanitarian aid,Non-food relief items (NFIs)","",,"","","",,"","Liberia,Sierra Leone",http://www.americares.org,2014-10-18,2014-10-20,active,""
AmeriCares,ACARE-LR-14-8124,"",Ebola,"Ebola Outbreak","Our Emergency Response Team has been on the ground in Liberia and Sierra Leone working with partners, coordinating the delivery of more supplies and mapping response strategies in high level meetings, including a briefing with Liberia’s President Ellen Johnson Sirleaf.","","",2014-05-01,2016-02-01,Health,Health,"",,"","","",,"","Liberia,Sierra Leone",http://www.americares.org,2014-10-18,"",active,""
AmeriCares,ACARE-LR-14-8126,"",Ebola,"Ebola Outbreak - Grant","AmeriCares gave a $15,505 flash grant to SIM USA for the restoration of the emergency room and triage area of ELWA Hospital in Liberia","","",2014-10-02,2016-01-01,Health,"Humanitarian aid","",15505.0,"SIM USA","ELWA Hospital","",,"",Liberia>Montserrado,"",2014-10-20,2014-10-21,active,""
AmeriCares,ACARE-LR-14-8127,"",Ebola,"Ebola Outbreak - Grant","AmeriCares gave a $30,000 flash grant Grant to Ganta Hospital in Liberia to purchase protective wear.

","","",2014-04-07,2016-01-01,Health,"Humanitarian aid","",30000.0,"","Ganta Hospital","",,"",Liberia>Nimba,"",2014-10-20,2014-10-21,active,""
"Adventist Development and Relief Agency (ADRA)",ADRA-SL-15-12664,"","ebola,foodsecurity_site","ADRA Sierra Leone Liberia Ebola Emergency Response Project","support to Waterloo SDA Hospital; General food distribution","","",2015-03-16,2015-10-15,"","Food Aid,Health,Humanitarian aid","",173944.0,"ADRA Network","ADRA Sierra Leone","",2500,"","Sierra Leone","",2015-04-20,2015-06-09,active,ADRA
"Catholic Relief Services (CRS)",CRS-SL-14-8233,"",ebola,"Community mobiliziation for Ebola Prevention and Early Referral","CRS will conduct BCC education through training existing CHWs on social mobilization and behavior change key messaging. These CHWs will conduct EVD door to door sensitization as well as use educational films to disseminate messaging. ","","",2014-10-01,2015-10-01,"",Health,"",,"","","",,"","Sierra Leone>Western","",2014-10-22,2014-10-23,active,"Australian Agency for International Development (AusAID)"
"PROJECT C.U.R.E.",CURE-GN-14-13121,GN-12-001,ebola,"National Hospital of Donka/Ebola Treatment Center-- Guinea","Project CURE is helping to provide aid to the National hospital and ebola treatment center in Guinea. ","","",2014-10-23,2016-10-23,"",Health,"",,"Newmont Mining","","",,"",Guinea,"",2015-06-04,2015-06-09,active,""
"Episcopal Relief & Development",ERD-LR-14-8118,"",Ebola,"Ebola Emergency Response in Liberia & Sierra Leone ","Episcopal Relief & Development supports community development programs in Liberia through the Episcopal Church of Liberia’s Health and Development Office and in Sierra Leone through the Anglican Diocese of Bo’s Integrated Development Program. Both country programs include NetsforLife malaria prevention & control; food security; sexual & gender-based violence prevention & response; livelihood strengthening; and micro-savings projects. <br><br>Currently, our Ebola response efforts are implemented with these Anglican Church partners, who coordinate with their respective government bodies – in Sierra Leone the District Health Management Task Force and in Liberia, the National Ebola Task Force.","In Liberia, our Ebola emergency response activities include:<br><br>(1) Distribution of over 10,000 flyers, pamphlets and bumper stickers with key messaging to Trinity Cathedral Episcopal, St. Thomas Episcopal, St. Stephen Episcopal, another St. Thomas Episcopal, Assembly of God Mission, Presbyterian Cathedral, Jubilee Christian fellowship, First United Methodist, Providence Baptist, Cavalry Baptist, Philadelphia Cathedral, and Sacred Heart Catholic Cathedral. <br><br>(2) Provision of protective gear (e.g. nose masks, goggles, medical gowns, aprons, gloves and thermometers) to three hospitals - Redemption, C.H.  Rennie and Phoebe Hospitals - in Montserrado County. A faster delivery of these items was made possible by procuring and shipping consignments through the Episcopal Relief & Development Ghana Regional Office.<br><br>(3) Ebola prevention and response messages using local radio broadcasting agencies in 8 counties - Bong, Lofa, Cape Mount, Sinoe, Grand Bassah , Montserrado, Rivercess and Magribi Counties - in a number of local languages and dialects.<br><br>(4) Distribution of emergency food packages and sanitary equipment (e.g. chlorine detergent and larger buckets with taps for hand washing) for 500 people in quarantined communities located in New Plateau Town, Sinje, Sanoyea and Jabdumum villages in Bong County. Packages also include posters with key messaging on basic hygiene practices for households to paste on their walls.<br><br>(5) Two consignments of personal protection equipment have been shipped from the Ghana Regional Office. Food distribution to 150 quarantined households in Cape Mount County has also been carried out together with the distribution of sanitary items (e.g. buckets, chlorine and bleach) and educational posters.<br><br>In Sierra Leone, our Ebola emergency response activities include:<br><br>(1) Training of trainers for Diocese health and development staff on case detection and management, who then trained 54 community volunteers (e.g. malaria control agents from on-going health programs, priests and local village leaders). The volunteers, equipped with protective gear and medical equipment, have referred suspected cases to health services, carried out tracing work and provided ebola awareness and counseling to families. Information on the referral pathway (i.e. where to go for different services), telephone numbers and other contact details are posted on village centers and homes.<br><br>(2) Sensitization and education on prevention methods in five districts by volunteers, priests, field project staff community stakeholders through radio and panel discussions and public rallies. The Anglican Diocese of Bo has reached  an estimated 150,000 people, which constitutes the general populace of the five districts.<br><br>(3) Provision of sanitary supplies (e.g. chlorine, buckets with taps, detergents, gloves, sanitizers, masks and bowls) to quarantined communities from the five districts.<br><br>(4) Distribution of food items (e.g. oil, rice, canned fish and meat) in preparation for the three-day country-wide lockdown to a total of 978 families (out of which 205 are women headed families, 161 survivor families, 28 child headed families and 584 destitute families (i.e. the sick and the elderly)).<br><br>(5) Distribution of medical equipment and sanitary materials from Episcopal Relief & Development’s Ghana Regional Office have been shipped on two occasions to health facilities in Bo.
","The key strengths of Episcopal Relief & Development's Ebola response program are:<br><br>(1) The Church's widespread infrastructure and networks: They cover major towns and reach the remotest villages. This network is used to get key messages across to a wider population and to provide much needed assistance, such as basic sanitary and hygiene supplies, protective equipment and food, to affected communities.<br><br>(2) Church leaders' high esteem and respect among communities: They are  listened to, especially during times of crisis. They can build upon the trust and confidence they have with their respective communities to incite positive change and reduce risky behavior and practices. The government has also recognized this level of respect, and have invited both dioceses to sit on the respective government-led response mechanisms, thereby providing access, visibility and authority in high-level decision making bodies. <br><br>(3) Strong partnerships with government and civil society organizations:  Our partners are members of the government-led task force units established at national and district levels, enabling them to contribute to the overall effort by sharing information and knowledge and responding in a coordinated, cost-effective manner.<br><br>(4) Large, dedicated and skilled volunteer workforce: This includes community malaria agents, priests, women’s micro-savings group leaders, farm group members and others that are major stakeholders in our integrated development programs and who are also key mobilizers in the fight against Ebola.",2014-08-01,2015-12-30,"","Food Aid,Health,Humanitarian aid,Non-food relief items (NFIs),Water Sanitation and Hygiene","",,"","Episcopal Church of Liberia; Anglican Diocese of Bo","",,"","Liberia>Bong,Liberia>Grand Cape Mount,Liberia>Lofa,Liberia>Montserrado,Liberia>River Cess,Sierra Leone>Southern",https://www.episcopalrelief.org/press-and-resources/press-releases/2014-press-releases/responding-to-ebola-crisis-in-sierra-leone-and-liberia,2014-10-17,2014-10-21,active,""
