FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ccc.1,POINT (-13.218694000127957 8.489972000007842),0,SLE_0018,Ola During Childrens Hospital,Open,EHC,SLE0402,20,20,1899-12-30T00:00:00,MOH/Cap Anamur,GOSL,8.489972,-13.218694,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.2,POINT (-12.772400000159834 8.749840000415736),1,SLE_0024,Maforki EHC,Open,EHC,SLE0204,62,62,1899-12-30T00:00:00,MoH / Plan,GOSL,8.74984,-12.7724,CDC Checked Coordinate,2014-12-01T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.3,POINT (-13.008915000127107 8.335112000118759),2,SLE_0025,Newton Clinic,Open,EHC,SLE0401,12,12,1899-12-30T00:00:00,MOH/Kings/RSLAF,GOSL,8.335112,-13.008915,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.4,POINT (-13.216197000091435 8.490685999659206),3,SLE_0026,PCMH Maternity,Closed,EHC,SLE0402,7,7,1899-12-30T00:00:00,MOH,GOSL,8.490686,-13.216197,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.5,POINT (-13.227870999746795 8.479781000392903),4,SLE_0027,Macauley St Hospital,Open,EHC,SLE0402,7,7,1899-12-30T00:00:00,MOH/Kings,GOSL,8.479781,-13.227871,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.6,POINT (-13.261241999918315 8.464217000314362),5,SLE_0030,34 Military Hospital,Open,EHC,SLE0402,14,16,1899-12-30T00:00:00,RSLAF,GOSL,8.464217,-13.261242,WAERC Confirmed Coordinates,2014-12-08T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.7,POINT (-13.170633999759236 8.45852400038236),6,SLE_0032,Rokupa Govt Hospital,Open,EHC,SLE0402,22,22,1899-12-30T00:00:00,MOH/Kings,GOSL,8.458524,-13.170634,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.8,POINT (-13.149548494167625 8.38686090800455),7,SLE_0033,"China-SL Friendship Hospital EHC, Jui",Open,EHC,SLE0401,38,38,1899-12-30T00:00:00,MOH/Kings,China,8.386861,-13.149548,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.9,POINT (-13.238586000143746 8.488557999552086),8,SLE_0034,Connaught Hospital,Open,EHC,SLE0402,18,18,1899-12-30T00:00:00,Kings,GOSL,8.488558,-13.238586,WAERC Confirmed Coordinates,2014-11-29T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.10,POINT (-13.263550000232279 8.397367000386808),9,SLE_0035,Lakka Hospital EHC,Open,EHC,SLE0401,10,10,1899-12-30T00:00:00,Emergency,DFID,8.397367,-13.26355,British Red Cross GPS,2014-11-26T00:00:00,No,Sierra Leone,
